# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  12200    2.99e+00  2.33e+00    5.05e-03  5.79e-03    9.45e-02  7.38e-02    5.0e-03
  12300    2.04e+00  1.97e+00    2.29e-03  2.52e-03    6.45e-02  6.23e-02    5.0e-03
  12400    4.05e+00  2.62e+00    7.19e-03  8.18e-03    1.28e-01  8.27e-02    5.0e-03
  12500    2.35e+00  2.05e+00    8.78e-03  6.64e-03    7.43e-02  6.47e-02    5.0e-03
  12600    1.42e+00  1.29e+00    3.99e-03  3.49e-03    4.50e-02  4.09e-02    5.0e-03
  12700    1.23e+00  1.23e+00    5.90e-03  6.75e-03    3.90e-02  3.90e-02    5.0e-03
  12800    1.82e+00  1.40e+00    1.46e-02  1.53e-02    5.75e-02  4.42e-02    5.0e-03
  12900    3.85e+00  3.35e+00    1.75e-02  1.49e-02    1.22e-01  1.06e-01    5.0e-03
  13000    5.49e+00  4.99e+00    1.68e-02  2.19e-02    1.74e-01  1.58e-01    5.0e-03
  13100    3.62e+00  2.87e+00    2.25e-02  1.91e-02    1.14e-01  9.08e-02    5.0e-03
  13200    2.57e+00  2.82e+00    1.12e-02  2.25e-02    8.13e-02  8.92e-02    5.0e-03
  13300    2.19e+00  1.99e+00    1.43e-02  1.37e-02    6.93e-02  6.30e-02    5.0e-03
  13400    1.36e+00  1.44e+00    1.05e-02  1.19e-02    4.30e-02  4.54e-02    5.0e-03
  13500    1.16e+00  1.15e+00    8.19e-03  1.09e-02    3.68e-02  3.64e-02    5.0e-03
  13600    1.86e+00  1.50e+00    8.91e-03  1.56e-02    5.87e-02  4.75e-02    5.0e-03
  13700    1.14e+00  1.16e+00    1.15e-02  1.29e-02    3.59e-02  3.68e-02    5.0e-03
  13800    1.38e+00  1.32e+00    7.17e-03  1.21e-02    4.37e-02  4.17e-02    5.0e-03
  13900    1.62e+00  1.68e+00    7.63e-03  1.15e-02    5.12e-02  5.30e-02    5.0e-03
  14000    2.29e+00  2.54e+00    6.96e-03  1.01e-02    7.25e-02  8.02e-02    5.0e-03
  14100    1.50e+00  1.58e+00    7.11e-03  7.68e-03    4.76e-02  4.99e-02    5.0e-03
  14200    2.96e+00  2.53e+00    1.89e-02  1.76e-02    9.36e-02  8.01e-02    5.0e-03
  14300    4.30e+00  3.20e+00    3.63e-02  3.42e-02    1.36e-01  1.01e-01    5.0e-03
  14400    3.24e+00  2.81e+00    7.42e-03  6.67e-03    1.02e-01  8.88e-02    5.0e-03
  14500    2.87e+00  2.60e+00    7.63e-03  7.60e-03    9.07e-02  8.22e-02    5.0e-03
  14600    2.18e+00  2.04e+00    6.05e-03  6.85e-03    6.90e-02  6.44e-02    5.0e-03
  14700    2.31e+00  2.23e+00    8.33e-03  7.57e-03    7.32e-02  7.04e-02    5.0e-03
  14800    1.45e+00  1.53e+00    2.80e-03  4.40e-03    4.57e-02  4.83e-02    5.0e-03
  14900    1.88e+00  1.84e+00    4.28e-03  6.80e-03    5.94e-02  5.80e-02    5.0e-03
  15000    1.56e+00  1.34e+00    3.89e-03  3.51e-03    4.93e-02  4.24e-02    5.0e-03
  15100    1.26e+00  1.19e+00    5.46e-03  5.20e-03    3.99e-02  3.76e-02    5.0e-03
  15200    2.21e+00  1.95e+00    6.81e-03  7.34e-03    6.98e-02  6.16e-02    5.0e-03
  15300    1.36e+00  1.18e+00    4.02e-03  4.45e-03    4.29e-02  3.73e-02    5.0e-03
  15400    2.10e+00  1.77e+00    4.50e-03  5.18e-03    6.63e-02  5.61e-02    5.0e-03
  15500    2.64e+00  2.20e+00    1.37e-02  1.48e-02    8.33e-02  6.96e-02    5.0e-03
  15600    2.31e+00  2.06e+00    2.94e-03  4.96e-03    7.30e-02  6.52e-02    5.0e-03
  15700    1.74e+00  1.99e+00    7.07e-03  9.97e-03    5.52e-02  6.31e-02    5.0e-03
  15800    3.90e+00  3.50e+00    1.37e-02  2.02e-02    1.23e-01  1.11e-01    5.0e-03
  15900    2.29e+00  1.76e+00    9.74e-03  1.38e-02    7.25e-02  5.57e-02    5.0e-03
  16000    3.20e+00  2.99e+00    1.75e-02  1.59e-02    1.01e-01  9.47e-02    5.0e-03
  16100    3.77e+00  3.33e+00    1.84e-02  1.91e-02    1.19e-01  1.05e-01    5.0e-03
  16200    1.78e+00  1.76e+00    1.52e-02  1.49e-02    5.64e-02  5.55e-02    5.0e-03
  16300    1.97e+00  2.11e+00    8.77e-03  9.89e-03    6.23e-02  6.67e-02    5.0e-03
  16400    1.39e+00  1.29e+00    7.39e-03  8.00e-03    4.40e-02  4.07e-02    5.0e-03
  16500    1.95e+00  1.64e+00    2.65e-03  3.89e-03    6.16e-02  5.19e-02    5.0e-03
  16600    2.11e+00  2.36e+00    1.55e-03  2.73e-03    6.66e-02  7.47e-02    5.0e-03
  16700    2.42e+00  2.33e+00    7.63e-03  8.58e-03    7.66e-02  7.38e-02    5.0e-03
  16800    1.89e+00  1.87e+00    1.36e-02  1.31e-02    5.98e-02  5.91e-02    5.0e-03
  16900    2.62e+00  2.68e+00    8.18e-03  1.37e-02    8.30e-02  8.47e-02    5.0e-03
  17000    1.35e+00  1.56e+00    8.63e-03  9.16e-03    4.27e-02  4.95e-02    5.0e-03
